title	json_key	type	chapter	description
Description of the dataset	description	question	Archiving and publishing data	Briefly describe the dataset in a way that a person not involved in the project gets an understanding of its background, and content including data type(s).\ Refer to answer from the chapter 'Reusing and collecting data' as appropriate, or enter a free-text description.
Please specify what the restrictions are	description	question	Data documentation during the project	
If applicable: Description of how and why you are using this policy, guideline or process	description	question	Legal and ethical aspects	<!-- SH: vurdere å stryke siste refleksjonspunkt her, kanskje? --
Instrument description	description	question	Reusing and collecting data	Briefly mention parameters that will be important to understand and reproduce the data.
Metadata and documentation that will accompany this data	description_1	question	Reusing and collecting data	Briefly describe project internal metadata and documentation that will accompany these data. In the chapter 'Data documentation during the project' you can describe in more detail how documentation and data will be connected and which metadata standards may be applied.
Description of the data	descriptionData	question	Reusing and collecting data	Briefly describe the dataset or source you are planning to make use of. What data type(s) and formats does the dataset consist of? What is the data volume?
Description of the dataset	descriptionDataset	question	Reusing and collecting data	Briefly describe the dataset. What is the total data volume? Which datatype(s) does the dataset contain? (e.g. text data, image data)
Description of preservation strategy	descriptionPreservationStrategy	question	Archiving and publishing data	
Description/ Relationship	descriptionRelationship	question	About the Data Management Plan	Briefly describe the relationship between this DMP and the related DMP or document. Example: DMP of the hosting research centre (parent DMP)
Description of the revision	descriptionRevision	question	About the Data Management Plan	Description of the revision (e.g. at mid-term evaluation or version number of the DMP).
Description of storage solution/technology	descriptionStorageSolution	question	Storing and protecting data during the project	Briefly describe the storage solution. If applicable, you can link to a description of the storage solution provided by your IT department or other provider.
Will you define a way to detect file or sample swaps, e.g. by measuring something independently?	detectSwaps	question	Processing, analysing and interpreting data	
Did you or will you consult with research data management experts?	didConsultResearch	question	About the Data Management Plan	In the process of writing this DMP, did you consult with research data management support services at your department, at the library, the IT department, research administration, or a core facility? Documenting this can be useful.
Did you or do you plan to apply for external project funding?	didPlanApply	question	About the research project	
Is there different versions of this dataset?	differentVersionsDataset	question	Reusing and collecting data	
Are there different versions of this data/record?	differentVersionsRecord	question	Reusing and collecting data	
How will the data be digitalised?	digitization	question	Reusing and collecting data	
List datasets that you have archived or will archive	distributions	question	Archiving and publishing data	List both datasets that are or will be made available by depositing them in a research data archive openly or with restricted access, and datasets that you are planning to preserve but not make accessible to others. Think about a dataset as some collection of data that will end up in the same place. Use 'Add' button for any new dataset.
DMP Consultation	dmpConsultation	question	About the Data Management Plan	Briefly describe the DMP consultation (e.g. date, who was involved, result of consultation).
DMP identifier	dmpIdentifier	question	About the Data Management Plan	Enter the identifier of the published DMP, preferably a link. Example: URL or doi <!-- JO: maDMP dmp id --
DMP identifier	dmpIdentifier2	question	About the Data Management Plan	Enter the identifier of the related DMP or document. Use the internal reference or if possible the url to a published version.
Name	dmpName	question	About the Data Management Plan	
Name	dmpName_1	question	About the Data Management Plan	
This DMP is related to other DMP(s) or formal document(s)	dmpRelatedDmp	question	About the Data Management Plan	In some cases it is natural to see a DMP in context. For example, the DMP should be seen in context with another formal document or a project could have sub-projects with their own DMP. Examples: 'Umbrella DMP' for a research centre or consortium that defines shared practices. This 'master DMP' will be accompanied by DMPs for individual projects or work packages. Data collection plans for research cruises or expeditions Software management plans and other types of output management plans
DMP title	dmpTitle	question	About the Data Management Plan	"A title following the scheme ""Data Management Plan for: Project identificator"" is recommended. Example: If your research project's name is ""A really fantastic project"" and you use the acronym AMAZING, the DMP title should be ""Data Management Plan for AMAZING - A really fantastic project, 2020-2024"""
What type of documentation is available and will be delivered under the same conditions as the software/computational model?	documentationAvailableDelivered	question	Reusing and collecting data	
Documentation and metadata that accompanies the data	documentationMetadataAccompanies	question	Reusing and collecting data	Briefly explain what documentation and metadata accompanies the data. Is the metadata in a standard format?
Is there a documented way to report bugs and other usability issues?	documentedWayReport	question	Reusing and collecting data	
How will you document participants information and/or consent?	documentParticipantsInformation	question	Legal and ethical aspects	Lack of documented agreement to data sharing of study participants can be a major obstacle to making research data available. It is therefore crucial to include information about planned data sharing in the participant information or consent forms. Briefly describe how you will document that participants give permission to data sharing.
